BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199607,13,400,199607,13,1200,2048122.0,5562798,NEW JERSEY,34,1996,July,Tropical Storm,Z,24,EASTERN CAPE MAY,PHI,13-JUL-96 04:00:00,EST,13-JUL-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A weakening Tropical Storm Bertha passed across eastern parts of the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County Delaware, at 11 a.m. EDT it was near Atlantic City and at 5 p.m. EDT it was over eastern Long Island Sound.One storm related death occurred on the 12th.  A 41-year-old man from New Egypt drowned while surfing at Ocean Beach.  Most beaches were already closed due to the rough surf and the potential for rip tides.  During the morning of the 13th three Lavallette firefighters were rescued in Barnegat Bay after a one hour search.  They rescued a Lavallette man who was trying to tie down his boat. It was ripped away from its mooring and began drifting into the bay.  They returned him to the shore, but when they tried to retrieve his boat, the rescue boat's propulsion system became tangled by rope.       While the long trip over land did weaken it, some wind related damage did occur.  Wind gusts reached 63 mph in Harvey Cedars, 60 mph in Seaside Park, 55 mph in Cumberland County and 43 mph at Atlantic City International Airport in Pomona.  Most of the strongest winds occurred between 6 a.m. and noon EDT.  About 40,000 Atlantic Electric customers lost power.  Downed wires closed Second Street in Cape May City.  Some minor back bay tidal flooding occurred in Cape May County.  Otherwise tidal departures were about two feet or less from normal.  Only Monmouth Beach suffered severe beach erosion.  Sixty feet of the one hundred twenty foot wide beach at the south of the borough was gone.  This beach is one of dozens in New Jersey that was being replenished under a U.S. Army Corps of Engineers project.  There was little beach erosion elsewhere.  Some of the heaviest rains with Bertha fell near or along the coast which included 6.59 inches in Estelle Manor, 4.56 inches in Folsom, 4.14 inches in Belleplain, 4.00 inches in Cape May County Courthouse, 3.78 inches in Hammonton and 2.07 inches in Margate.  While there was urban and poor drainage flooding, no serious property or vehicular damage was reported and there were only a few water rescues of trapped motorists.",,PDC
199607,13,400,199607,13,1200,2048122.0,5562799,NEW JERSEY,34,1996,July,Tropical Storm,Z,25,EASTERN ATLANTIC,PHI,13-JUL-96 04:00:00,EST,13-JUL-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A weakening Tropical Storm Bertha passed across eastern parts of the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County Delaware, at 11 a.m. EDT it was near Atlantic City and at 5 p.m. EDT it was over eastern Long Island Sound.One storm related death occurred on the 12th.  A 41-year-old man from New Egypt drowned while surfing at Ocean Beach.  Most beaches were already closed due to the rough surf and the potential for rip tides.  During the morning of the 13th three Lavallette firefighters were rescued in Barnegat Bay after a one hour search.  They rescued a Lavallette man who was trying to tie down his boat. It was ripped away from its mooring and began drifting into the bay.  They returned him to the shore, but when they tried to retrieve his boat, the rescue boat's propulsion system became tangled by rope.       While the long trip over land did weaken it, some wind related damage did occur.  Wind gusts reached 63 mph in Harvey Cedars, 60 mph in Seaside Park, 55 mph in Cumberland County and 43 mph at Atlantic City International Airport in Pomona.  Most of the strongest winds occurred between 6 a.m. and noon EDT.  About 40,000 Atlantic Electric customers lost power.  Downed wires closed Second Street in Cape May City.  Some minor back bay tidal flooding occurred in Cape May County.  Otherwise tidal departures were about two feet or less from normal.  Only Monmouth Beach suffered severe beach erosion.  Sixty feet of the one hundred twenty foot wide beach at the south of the borough was gone.  This beach is one of dozens in New Jersey that was being replenished under a U.S. Army Corps of Engineers project.  There was little beach erosion elsewhere.  Some of the heaviest rains with Bertha fell near or along the coast which included 6.59 inches in Estelle Manor, 4.56 inches in Folsom, 4.14 inches in Belleplain, 4.00 inches in Cape May County Courthouse, 3.78 inches in Hammonton and 2.07 inches in Margate.  While there was urban and poor drainage flooding, no serious property or vehicular damage was reported and there were only a few water rescues of trapped motorists.",,PDC
199607,12,100,199607,12,1100,2037282.0,5552048,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,45,BERKELEY,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,,,,35.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199607,12,100,199607,12,900,2037282.0,5552049,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,47,JASPER,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,,,,30.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199607,12,100,199607,12,900,2037282.0,5552050,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,48,BEAUFORT,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,,,,30.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199607,12,100,199607,12,900,2037282.0,5552051,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,49,SOUTHERN COLLETON,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 09:00:00,0,0,0,0,,,,35.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199607,11,2200,199607,12,800,2037283.0,5552059,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,140,INLAND MCINTOSH,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",,PDC
199607,11,2200,199607,12,800,2037283.0,5552054,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,117,COASTAL BRYAN,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",,PDC
199607,11,2200,199607,12,800,2037283.0,5552055,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,118,INLAND CHATHAM,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",,PDC
199607,12,100,199607,12,1100,2037282.0,5552047,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,44,DORCHESTER,CHS,12-JUL-96 01:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,,,,30.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199606,18,1000,199606,19,1000,2041488.0,5558019,SOUTH CAROLINA,45,1996,June,Tropical Storm,Z,46,GEORGETOWN,ILM,18-JUN-96 10:00:00,EST,19-JUN-96 10:00:00,0,0,0,0,,,,25.0,,,,,,,,,,,,,,,,,,,,,"The center of Tropical Storm Arthur passed about 75 miles east of Cape Romain the morning of June 19, causing minimal surf and no surge. Rainfall in Georgetown accumulated around 5 inches as the storm approached and passed, but as it fell gradually, there was no flooding reported.",,PDC
199606,18,1000,199606,19,1000,2041489.0,5558020,SOUTH CAROLINA,45,1996,June,Tropical Storm,Z,34,HORRY,ILM,18-JUN-96 10:00:00,EST,19-JUN-96 10:00:00,0,0,0,0,,,,25.0,,,,,,,,,,,,,,,,,,,,,"Wind and surf was minimal, and rainfall accumulations ranged up to 2 inches in Horry County",,PDC
199607,13,400,199607,13,1200,2048122.0,5562642,NEW JERSEY,34,1996,July,Tropical Storm,Z,22,WESTERN ATLANTIC,PHI,13-JUL-96 04:00:00,EST,13-JUL-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"A weakening Tropical Storm Bertha passed across eastern parts of the state on July 13th.  Hurricane Bertha made landfall near Wilmington North Carolina close to 5 p.m. EDT on the 12th and moved northnortheast overnight.  At 11 p.m. EDT it was 100 miles southwest of Norfolk, at 3 a.m. EDT on the 13th it was 45 miles westsouthwest of Norfolk, at 8 a.m. EDT it was 45 miles south of Dover, at 930 a.m. EDT it was in extreme northeastern Sussex County Delaware, at 11 a.m. EDT it was near Atlantic City and at 5 p.m. EDT it was over eastern Long Island Sound.One storm related death occurred on the 12th.  A 41-year-old man from New Egypt drowned while surfing at Ocean Beach.  Most beaches were already closed due to the rough surf and the potential for rip tides.  During the morning of the 13th three Lavallette firefighters were rescued in Barnegat Bay after a one hour search.  They rescued a Lavallette man who was trying to tie down his boat. It was ripped away from its mooring and began drifting into the bay.  They returned him to the shore, but when they tried to retrieve his boat, the rescue boat's propulsion system became tangled by rope.       While the long trip over land did weaken it, some wind related damage did occur.  Wind gusts reached 63 mph in Harvey Cedars, 60 mph in Seaside Park, 55 mph in Cumberland County and 43 mph at Atlantic City International Airport in Pomona.  Most of the strongest winds occurred between 6 a.m. and noon EDT.  About 40,000 Atlantic Electric customers lost power.  Downed wires closed Second Street in Cape May City.  Some minor back bay tidal flooding occurred in Cape May County.  Otherwise tidal departures were about two feet or less from normal.  Only Monmouth Beach suffered severe beach erosion.  Sixty feet of the one hundred twenty foot wide beach at the south of the borough was gone.  This beach is one of dozens in New Jersey that was being replenished under a U.S. Army Corps of Engineers project.  There was little beach erosion elsewhere.  Some of the heaviest rains with Bertha fell near or along the coast which included 6.59 inches in Estelle Manor, 4.56 inches in Folsom, 4.14 inches in Belleplain, 4.00 inches in Cape May County Courthouse, 3.78 inches in Hammonton and 2.07 inches in Margate.  While there was urban and poor drainage flooding, no serious property or vehicular damage was reported and there were only a few water rescues of trapped motorists.",,PDC
199606,18,1300,199606,19,2300,2054487.0,5580870,NORTH CAROLINA,37,1996,June,Tropical Storm,Z,47,WESTERN DARE,MHX,18-JUN-96 13:00:00,EST,19-JUN-96 23:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops,,PDC
199606,18,1300,199606,19,2300,2054487.0,5580871,NORTH CAROLINA,37,1996,June,Tropical Storm,Z,79,GREENE,MHX,18-JUN-96 13:00:00,EST,19-JUN-96 23:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops,,PDC
199606,18,1300,199606,19,2300,2054487.0,5580866,NORTH CAROLINA,37,1996,June,Tropical Storm,Z,29,MARTIN,MHX,18-JUN-96 13:00:00,EST,19-JUN-96 23:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops,,PDC
199606,18,1300,199606,19,2300,2054487.0,5580867,NORTH CAROLINA,37,1996,June,Tropical Storm,Z,44,PITT,MHX,18-JUN-96 13:00:00,EST,19-JUN-96 23:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm Arthur teased the North Carolina coast moving parallel to the coast and then up across Cape Lookout into the Pamlico Sound where it was downgraded to a tropical depression.  Up to 4 inches of rain fell across parts of southern Lenoir and northern Duplin counties.  Much of the rest of the area received between three quarters and two inches of rain.  Surf was running at 5-7 feet off Carteret County.  There was some damage to crops,,PDC
199607,12,300,199607,12,1100,2037282.0,5552052,SOUTH CAROLINA,45,1996,July,Hurricane (Typhoon),Z,50,CHARLESTON,CHS,12-JUL-96 03:00:00,EST,12-JUL-96 11:00:00,0,0,0,0,,,,50.0,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha came close to the south coastal counties of South Carolina, but did not cause any significant damage. The maximum sustained winds (36kts) and peak gust (50kts) both occurred at the Charleston City Office on 7/12/96. Bertha's most significant impact was on tourism where the estimated loss revenue approached $20,000,000. Near eleven (11) million dollars of that was in Beaufort/Hilton Head area. A few places along the Charleston coast experienced moderate beach erosion.",,PDC
199607,11,2200,199607,12,800,2037283.0,5552053,GEORGIA,13,1996,July,Hurricane (Typhoon),Z,116,INLAND BRYAN,CHS,11-JUL-96 22:00:00,EST,12-JUL-96 08:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Hurricane Watch for Bertha and later a Warning for the Georgia Coast caused about 20,000 people to evacuate, primarily Chatham County. Bertha was far enough offshore so that it did not caused any significant damage. Estimated loss revenue and down time for local plants and factories was $2,000,000.",,PDC
199607,12,1000,199607,13,600,2054534.0,5580397,NORTH CAROLINA,37,1996,July,Hurricane (Typhoon),Z,91,LENOIR,MHX,12-JUL-96 10:00:00,EST,13-JUL-96 06:00:00,0,0,0,0,.6M,15M,,,,,,,,,,,,,,,,,,,,,,,"Hurricane Bertha slammed into the North Carolina coastline between Surf City and North Topsail Beach causing severe damage to property, utilities and roads.  Hardest hit were agricultural crops which suffered losses in excess of $126 million.  Heaviest damage was in Topsail Beach and all of Onslow County up the coast to Emerald Isle in Carteret County.  In Onslow alone, 199 structures were destroyed (117 were mobile homes).  An 8-10 foot storm surge struck Swansboro and Emerald Isle.  Several businesses were flooded.  Water flowed through the streets of Belhaven in Beaufort County where the surge was around 7 feet.  In New Bern, numerous boats were sunk or damaged at 3 private marinas.  Fishing piers were demolished all along the coast.  New River (Marine Corps Air Station in Jacksonville) reported a peak wind gust of 108 mph.  Rainfall across the region ranged from 8 inches in the Hofman Forest (Onslow) to 6 1/2 inches in Broad Creek to over 5 1/2 in Snow Hill and Washington.",,PDC
